FY_CODE,WPI_ORG_NAME,ORG_CODE,ORG_TYP_CODE,WPI_RACE_AFRAME_CNT,WPI_RACE_AFRAME_PCT,WPI_RACE_ASIAN_CNT,WPI_RACE_ASIAN_PCT,WPI_RACE_HISPANIC_CNT,WPI_RACE_HISPANIC_PCT,WPI_RACE_WHITE_CNT,WPI_RACE_WHITE_PCT,WPI_RACE_NATAME_CNT,WPI_RACE_NATAME_PCT,WPI_RACE_NATHPI_CNT,WPI_RACE_NATHPI_PCT,WPI_RACE_MULTINH_CNT,WPI_RACE_MULTINH_PCT,WPI_GNDR_MALE_CNT,WPI_GNDR_MALE_PCT,WPI_GNDR_FEMALE_CNT,WPI_GNDR_FEMALE_PCT,WPI_GNDR_TOTAL_CNT
2007,King Open,490035,6,129,26.50%,35,7.20%,55,11.30%,248,51%,4,0.80%,1,0.20%,14,2.90%,242,49.80%,244,50.20%,486
2007,Kennedy-Longfellow,490040,6,137,35%,48,12.30%,68,17.40%,125,32%,3,0.80%,1,0.30%,9,2.30%,210,53.70%,181,46.30%,391
2007,Morse,490045,6,122,36.30%,49,14.60%,36,10.70%,121,36%,2,0.60%,,0%,6,1.80%,163,48.50%,173,51.50%,336
2007,Peabody,490050,6,172,40.40%,64,15%,33,7.70%,145,34%,1,0.20%,,0%,11,2.60%,239,56.10%,187,43.90%,426
2007,John M Tobin,490065,6,150,49.30%,59,19.40%,37,12.20%,50,16.40%,4,1.30%,1,0.30%,3,1%,170,55.90%,134,44.10%,304
2007,Graham and Parks,490080,6,100,24.80%,59,14.60%,31,7.70%,203,50.40%,3,0.70%,2,0.50%,5,1.20%,205,50.90%,198,49.10%,403
2007,Fletcher/Maynard Academy,490090,6,121,55.80%,13,6%,48,22.10%,30,13.80%,2,0.90%,,0%,3,1.40%,126,58.10%,91,41.90%,217
2008,Cambridge,490000,5,1986,35%,635,11.20%,799,14.10%,2077,36.60%,34,0.60%,8,0.10%,143,2.50%,2931,51.60%,2751,48.40%,5682
2008,Maria L. Baldwin,490005,6,116,31.40%,35,9.50%,33,8.90%,169,45.70%,2,0.50%,,0%,15,4.10%,202,54.60%,168,45.40%,370
2008,Amigos School,490006,6,28,9.20%,7,2.30%,171,56.30%,89,29.30%,1,0.30%,,0%,8,2.60%,141,46.40%,163,53.60%,304
2008,Cambridgeport,490007,6,87,31.60%,32,11.60%,27,9.80%,116,42.20%,4,1.50%,,0%,9,3.30%,120,43.60%,155,56.40%,275
2008,Haggerty,490020,6,72,25.40%,42,14.80%,12,4.20%,139,48.90%,2,0.70%,,0%,17,6%,153,53.90%,131,46.10%,284
2008,Martin Luther King Jr.,490030,6,126,50.20%,47,18.70%,28,11.20%,41,16.30%,,0%,,0%,9,3.60%,143,57%,108,43%,251
2008,King Open,490035,6,138,26.90%,33,6.40%,68,13.30%,256,49.90%,4,0.80%,1,0.20%,13,2.50%,266,51.90%,247,48.10%,513
2008,Kennedy-Longfellow,490040,6,132,34.60%,36,9.40%,67,17.60%,133,34.90%,3,0.80%,1,0.30%,9,2.40%,197,51.70%,184,48.30%,381
2008,Morse,490045,6,130,38.50%,49,14.50%,30,8.90%,117,34.60%,1,0.30%,2,0.60%,9,2.70%,162,47.90%,176,52.10%,338
2008,Peabody,490050,6,188,40.50%,67,14.40%,31,6.70%,164,35.30%,2,0.40%,,0%,12,2.60%,250,53.90%,214,46.10%,464
2008,John M Tobin,490065,6,133,43%,76,24.60%,35,11.30%,54,17.50%,5,1.60%,,0%,6,1.90%,157,50.80%,152,49.20%,309
2008,Graham and Parks,490080,6,98,23.30%,70,16.70%,33,7.90%,207,49.30%,2,0.50%,2,0.50%,8,1.90%,203,48.30%,217,51.70%,420
2008,Fletcher/Maynard Academy,490090,6,126,54.30%,11,4.70%,53,22.80%,35,15.10%,1,0.40%,1,0.40%,5,2.20%,140,60.30%,92,39.70%,232
2009,Cambridge,490000,5,1995,34.60%,652,11.30%,813,14.10%,2076,36%,31,0.50%,10,0.20%,193,3.30%,2997,51.90%,2773,48.10%,5770
2009,Maria L. Baldwin,490005,6,118,31.40%,37,9.80%,32,8.50%,171,45.50%,2,0.50%,1,0.30%,15,4%,207,55.10%,169,44.90%,376
2009,Amigos School,490006,6,21,7%,6,2%,169,56.50%,91,30.40%,1,0.30%,0,0%,11,3.70%,137,45.80%,162,54.20%,299
2009,Cambridgeport,490007,6,87,30.60%,33,11.60%,30,10.60%,120,42.30%,3,1.10%,0,0%,11,3.90%,134,47.20%,150,52.80%,284
2009,Haggerty,490020,6,76,26.70%,42,14.70%,8,2.80%,138,48.40%,2,0.70%,1,0.40%,18,6.30%,150,52.60%,135,47.40%,285
2009,Martin Luther King Jr.,490030,6,129,50.40%,44,17.20%,29,11.30%,42,16.40%,0,0%,0,0%,12,4.70%,146,57%,110,43%,256
2009,King Open,490035,6,141,27.30%,38,7.40%,63,12.20%,248,48%,3,0.60%,1,0.20%,23,4.40%,287,55.50%,230,44.50%,517
2009,Kennedy-Longfellow,490040,6,141,37.30%,31,8.20%,65,17.20%,130,34.40%,2,0.50%,1,0.30%,8,2.10%,203,53.70%,175,46.30%,378
2009,Morse,490045,6,144,39.50%,51,14%,34,9.30%,117,32.10%,1,0.30%,2,0.50%,16,4.40%,172,47.10%,193,52.90%,365
2009,Peabody,490050,6,180,37.70%,68,14.20%,33,6.90%,175,36.60%,1,0.20%,0,0%,21,4.40%,253,52.90%,225,47.10%,478
2009,John M Tobin,490065,6,122,37.90%,75,23.30%,38,11.80%,68,21.10%,5,1.60%,1,0.30%,13,4%,151,46.90%,171,53.10%,322
2009,Graham and Parks,490080,6,104,24.30%,74,17.30%,37,8.60%,196,45.80%,2,0.50%,1,0.20%,14,3.30%,221,51.60%,207,48.40%,428
2009,Fletcher/Maynard Academy,490090,6,136,55.70%,13,5.30%,54,22.10%,30,12.30%,1,0.40%,2,0.80%,8,3.30%,137,56.10%,107,43.90%,244
2010,Cambridge,490000,5,1997,33.60%,667,11.20%,845,14.20%,2168,36.40%,36,0.60%,16,0.30%,221,3.70%,3033,51%,2917,49%,5950
2010,Maria L. Baldwin,490005,6,104,27.20%,38,9.90%,31,8.10%,186,48.60%,3,0.80%,1,0.30%,20,5.20%,207,54%,176,46%,383
2010,Amigos School,490006,6,22,7.50%,9,3.10%,161,54.60%,87,29.50%,0,0%,0,0%,16,5.40%,135,45.80%,160,54.20%,295
2010,Cambridgeport,490007,6,92,31.20%,40,13.60%,23,7.80%,126,42.70%,2,0.70%,0,0%,12,4.10%,137,46.40%,158,53.60%,295
2010,Haggerty,490020,6,80,27%,45,15.20%,15,5.10%,130,43.90%,2,0.70%,2,0.70%,22,7.40%,158,53.40%,138,46.60%,296
2010,Martin Luther King Jr.,490030,6,135,51.30%,47,17.90%,28,10.60%,40,15.20%,0,0%,2,0.80%,11,4.20%,137,52.10%,126,47.90%,263
2010,King Open,490035,6,122,24.50%,36,7.20%,62,12.40%,250,50.20%,3,0.60%,1,0.20%,24,4.80%,274,55%,224,45%,498
2010,Kennedy-Longfellow,490040,6,134,36.40%,35,9.50%,73,19.80%,119,32.30%,1,0.30%,1,0.30%,5,1.40%,188,51.10%,180,48.90%,368
2010,Morse,490045,6,153,36.50%,59,14.10%,46,11%,135,32.20%,2,0.50%,2,0.50%,22,5.30%,196,46.80%,223,53.20%,419
2010,Peabody,490050,6,201,38.70%,61,11.70%,43,8.30%,192,36.90%,0,0%,2,0.40%,21,4%,275,52.90%,245,47.10%,520
2010,John M Tobin,490065,6,129,35.50%,73,20.10%,42,11.60%,96,26.40%,5,1.40%,0,0%,18,5%,174,47.90%,189,52.10%,363
2010,Graham and Parks,490080,6,98,23.40%,70,16.70%,33,7.90%,195,46.70%,3,0.70%,1,0.20%,18,4.30%,211,50.50%,207,49.50%,418
2010,Fletcher/Maynard Academy,490090,6,125,50.20%,16,6.40%,55,22.10%,38,15.30%,5,2%,3,1.20%,7,2.80%,131,52.60%,118,47.40%,249
2011,Cambridge,490000,5,1965,32.60%,663,11%,847,14.10%,2224,36.90%,38,0.60%,19,0.30%,263,4.40%,3060,50.80%,2959,49.20%,6019
2011,Maria L. Baldwin,490005,6,89,23.80%,40,10.70%,31,8.30%,184,49.20%,4,1.10%,2,0.50%,24,6.40%,200,53.50%,174,46.50%,374
2011,Amigos School,490006,6,22,6.90%,10,3.10%,154,48.40%,107,33.60%,0,0%,1,0.30%,24,7.50%,135,42.50%,183,57.50%,318
2011,Cambridgeport,490007,6,83,29.50%,25,8.90%,25,8.90%,135,48%,1,0.40%,0,0%,12,4.30%,134,47.70%,147,52.30%,281
2011,Haggerty,490020,6,75,28.60%,30,11.50%,14,5.30%,122,46.60%,1,0.40%,2,0.80%,18,6.90%,134,51.10%,128,48.90%,262
2011,Martin Luther King Jr.,490030,6,131,46%,62,21.80%,31,10.90%,50,17.50%,0,0%,0,0%,11,3.90%,144,50.50%,141,49.50%,285
2011,King Open,490035,6,124,25.20%,42,8.50%,59,12%,236,47.90%,3,0.60%,1,0.20%,28,5.70%,272,55.20%,221,44.80%,493
2011,Kennedy-Longfellow,490040,6,139,34.60%,43,10.70%,71,17.70%,134,33.30%,0,0%,3,0.70%,12,3%,211,52.50%,191,47.50%,402
2011,Morse,490045,6,150,35.10%,57,13.30%,52,12.20%,134,31.40%,3,0.70%,3,0.70%,28,6.60%,207,48.50%,220,51.50%,427
2011,Peabody,490050,6,189,35.30%,62,11.60%,42,7.80%,213,39.70%,1,0.20%,3,0.60%,26,4.90%,277,51.70%,259,48.30%,536
2011,John M Tobin,490065,6,147,36.10%,70,17.20%,54,13.30%,110,27%,5,1.20%,0,0%,21,5.20%,197,48.40%,210,51.60%,407
2011,Graham and Parks,490080,6,98,23.60%,62,14.90%,31,7.50%,201,48.40%,2,0.50%,1,0.20%,20,4.80%,211,50.80%,204,49.20%,415
2011,Fletcher/Maynard Academy,490090,6,123,51.50%,12,5%,48,20.10%,37,15.50%,5,2.10%,3,1.30%,11,4.60%,123,51.50%,116,48.50%,239
2012,Cambridge,490000,5,1900,31.40%,669,11.10%,818,13.50%,2333,38.50%,37,0.60%,18,0.30%,277,4.60%,3079,50.90%,2973,49.10%,6052
2012,Maria L. Baldwin,490005,6,91,25%,36,9.90%,30,8.20%,180,49.50%,2,0.50%,1,0.30%,24,6.60%,192,52.70%,172,47.30%,364
2012,Amigos School,490006,6,26,7.80%,12,3.60%,146,43.70%,126,37.70%,0,0%,1,0.30%,23,6.90%,137,41%,197,59%,334
2012,Cambridgeport,490007,6,74,28.10%,26,9.90%,28,10.60%,117,44.50%,1,0.40%,0,0%,17,6.50%,133,50.60%,130,49.40%,263
2012,Haggerty,490020,6,76,26.20%,42,14.50%,14,4.80%,134,46.20%,1,0.30%,1,0.30%,22,7.60%,147,50.70%,143,49.30%,290
2012,Martin Luther King Jr.,490030,6,134,45.60%,49,16.70%,37,12.60%,61,20.70%,0,0%,1,0.30%,12,4.10%,139,47.30%,155,52.70%,294
2012,King Open,490035,6,114,23.50%,40,8.20%,55,11.30%,240,49.50%,5,1%,1,0.20%,30,6.20%,275,56.70%,210,43.30%,485
2012,Kennedy-Longfellow,490040,6,127,31.30%,42,10.30%,74,18.20%,149,36.70%,1,0.20%,1,0.20%,12,3%,215,53%,191,47%,406
2012,Morse,490045,6,134,33.40%,51,12.70%,44,11%,141,35.20%,3,0.70%,3,0.70%,25,6.20%,200,49.90%,201,50.10%,401
2012,Peabody,490050,6,161,32.10%,52,10.40%,40,8%,217,43.30%,1,0.20%,3,0.60%,27,5.40%,258,51.50%,243,48.50%,501
2012,John M Tobin,490065,6,151,36.10%,80,19.10%,39,9.30%,121,28.90%,4,1%,1,0.20%,22,5.30%,208,49.80%,210,50.20%,418
2012,Graham and Parks,490080,6,90,22%,50,12.20%,35,8.60%,209,51.10%,2,0.50%,1,0.20%,22,5.40%,206,50.40%,203,49.60%,409
2012,Fletcher/Maynard Academy,490090,6,122,45%,15,5.50%,53,19.60%,59,21.80%,5,1.80%,4,1.50%,13,4.80%,146,53.90%,125,46.10%,271
2013,Cambridge,490000,5,1851,29.70%,737,11.80%,853,13.70%,2395,38.50%,32,0.50%,15,0.20%,339,5.40%,3140,50.50%,3082,49.50%,6222
2013,Maria L. Baldwin,490005,6,64,21.10%,35,11.50%,30,9.90%,147,48.40%,0,0%,1,0.30%,27,8.90%,155,51%,149,49%,304
2013,Amigos School,490006,6,18,5.30%,10,3%,147,43.50%,134,39.60%,0,0%,1,0.30%,28,8.30%,143,42.30%,195,57.70%,338
2013,Cambridgeport,490007,6,48,18.60%,29,11.20%,31,12%,130,50.40%,0,0%,0,0%,20,7.80%,127,49.20%,131,50.80%,258
2013,Haggerty,490020,6,67,26.60%,40,15.90%,12,4.80%,113,44.80%,1,0.40%,1,0.40%,18,7.10%,122,48.40%,130,51.60%,252
2013,Martin Luther King Jr.,490030,6,93,37.20%,54,21.60%,26,10.40%,59,23.60%,0,0%,0,0%,18,7.20%,100,40%,150,60%,250
2013,King Open,490035,6,70,20.30%,20,5.80%,44,12.80%,179,51.90%,3,0.90%,1,0.30%,28,8.10%,201,58.30%,144,41.70%,345
2013,Kennedy-Longfellow,490040,6,94,31.90%,37,12.50%,50,16.90%,104,35.30%,0,0%,1,0.30%,9,3.10%,147,49.80%,148,50.20%,295
2013,Morse,490045,6,98,32.80%,42,14%,28,9.40%,98,32.80%,3,1%,1,0.30%,29,9.70%,142,47.50%,157,52.50%,299
2013,Peabody,490050,6,98,31.90%,28,9.10%,26,8.50%,130,42.30%,1,0.30%,2,0.70%,22,7.20%,145,47.20%,162,52.80%,307
2013,John M Tobin,490065,6,74,27%,44,16.10%,26,9.50%,101,36.90%,2,0.70%,0,0%,27,9.90%,134,48.90%,140,51.10%,274
2013,Graham and Parks,490080,6,71,20.10%,66,18.70%,41,11.60%,158,44.80%,1,0.30%,1,0.30%,15,4.20%,197,55.80%,156,44.20%,353
2013,Fletcher/Maynard Academy,490090,6,87,39%,14,6.30%,43,19.30%,54,24.20%,5,2.20%,3,1.30%,17,7.60%,119,53.40%,104,46.60%,223
2013,Cambridge Street Upper School,490305,6,92,36.20%,25,9.80%,35,13.80%,88,34.60%,3,1.20%,1,0.40%,10,3.90%,132,52%,122,48%,254
2013,Putnam Avenue Upper School,490310,6,96,39.80%,37,15.40%,30,12.40%,70,29%,0,0%,1,0.40%,7,2.90%,136,56.40%,105,43.60%,241
2013,Rindge Avenue Upper School,490315,6,76,30.20%,27,10.70%,26,10.30%,112,44.40%,2,0.80%,0,0%,9,3.60%,146,57.90%,106,42.10%,252
2013,Vassal Lane Upper School,490320,6,107,36.50%,45,15.40%,28,9.60%,97,33.10%,1,0.30%,1,0.30%,14,4.80%,152,51.90%,141,48.10%,293
2014,Cambridge,490000,5,1834,28.80%,779,12.20%,883,13.90%,2419,38%,32,0.50%,15,0.20%,399,6.30%,3218,50.60%,3143,49.40%,6361
2014,Maria L. Baldwin,490005,6,65,20.10%,41,12.70%,32,9.90%,154,47.70%,3,0.90%,0,0%,28,8.70%,165,51.10%,158,48.90%,323
2014,Amigos School,490006,6,19,5.50%,8,2.30%,146,42.60%,135,39.40%,0,0%,1,0.30%,34,9.90%,149,43.40%,194,56.60%,343
2014,Cambridgeport,490007,6,57,20.40%,27,9.60%,30,10.70%,141,50.40%,1,0.40%,1,0.40%,23,8.20%,137,48.90%,143,51.10%,280
2014,Haggerty,490020,6,71,28.60%,32,12.90%,13,5.20%,107,43.10%,0,0%,1,0.40%,24,9.70%,123,49.60%,125,50.40%,248
2014,Martin Luther King Jr.,490030,6,86,32.20%,65,24.30%,27,10.10%,60,22.50%,0,0%,0,0%,29,10.90%,120,44.90%,147,55.10%,267
2014,King Open,490035,6,63,18.90%,27,8.10%,51,15.30%,163,48.80%,1,0.30%,0,0%,29,8.70%,192,57.50%,142,42.50%,334
2014,Kennedy-Longfellow,490040,6,67,26.30%,40,15.70%,48,18.80%,86,33.70%,0,0%,2,0.80%,12,4.70%,137,53.70%,118,46.30%,255
2014,Morse,490045,6,97,34.50%,40,14.20%,25,8.90%,85,30.20%,2,0.70%,2,0.70%,30,10.70%,137,48.80%,144,51.20%,281
2014,Peabody,490050,6,99,31.80%,28,9%,27,8.70%,133,42.80%,0,0%,1,0.30%,23,7.40%,143,46%,168,54%,311
2014,John M Tobin,490065,6,71,24.70%,42,14.60%,25,8.70%,117,40.80%,3,1%,0,0%,29,10.10%,138,48.10%,149,51.90%,287
2014,Graham and Parks,490080,6,78,21.70%,69,19.20%,38,10.60%,154,42.90%,1,0.30%,0,0%,19,5.30%,184,51.30%,175,48.70%,359
2014,Fletcher/Maynard Academy,490090,6,95,40.40%,18,7.70%,44,18.70%,57,24.30%,2,0.90%,2,0.90%,17,7.20%,121,51.50%,114,48.50%,235
2014,Cambridge Street Upper School,490305,6,92,34.50%,24,9%,36,13.50%,95,35.60%,4,1.50%,2,0.70%,14,5.20%,142,53.20%,125,46.80%,267
2014,Putnam Avenue Upper School,490310,6,99,40.20%,29,11.80%,37,15%,71,28.90%,1,0.40%,0,0%,9,3.70%,134,54.50%,112,45.50%,246
2014,Rindge Avenue Upper School,490315,6,87,30.90%,40,14.20%,39,13.80%,102,36.20%,2,0.70%,0,0%,12,4.30%,149,52.80%,133,47.20%,282
2014,Vassal Lane Upper School,490320,6,110,36.40%,46,15.20%,22,7.30%,106,35.10%,2,0.70%,1,0.30%,15,5%,158,52.30%,144,47.70%,302
