School,id,Type,Function,Contact Name,Address,Town,State,Zip,Phone,Fax,Grade
Danvers: Ivan G Smith,710032,Public School,Principal,Tracey Mara,15 Lobao Drive,Danvers,MA,1923,978-774-1350,978-774-1351,"K,01,02,03,04,05"
Danvers: Riverside,710030,Public School,Principal,Violetta Powers,95 Liberty Street,Danvers,MA,1923,978-774-5010,978-774-7850,"PK,K,01,02,03,04,05"
Danvers: Willis E Thorpe,710045,Public School,Principal,Rita Ward,1 Avon Rd,Danvers,MA,1923,978-774-6946,978-739-4417,"K,01,02,03,04,05"
Dartmouth: Dartmouth Middle,720050,Public School,Principal,Darren Doane,366 Slocum Road,North Dartmouth,MA,2747,508-997-9333,508-999-7720,"06,07,08"
Dartmouth: George H Potter,720030,Public School,Principal,Heidi Brooks,185 Cross Rd,North Dartmouth,MA,2747,508-996-8259,508-990-0250,"PK,K,01,02,03,04,05"
Dartmouth: James M. Quinn School,720040,Public School,Principal,Kyle Grandfield,529 Hawthorn Street,Dartmouth,MA,2747,508-997-3178,508-997-6257,"K,01,02,03,04,05"
Dartmouth: Joseph Demello,720015,Public School,Principal,Catherine Pavao,654 Dartmouth Street,South Dartmouth,MA,2748,508-996-6750,508-990-2519,"01,02,03,04,05"
Dedham: Avery,730010,Public School,Principal,Clare Sullivan,336 High Street,Dedham,MA,2026,781-310-5000,781-326-5899,"01,02,03,04,05"
Dedham: Dedham Middle School,730305,Public School,Principal,Karen Hillman,70 Whiting Avenue,Dedham,MA,2026,781-310-7000,781-461-0354,"06,07,08"
Dedham: Greenlodge,730025,Public School,Principal,Ashley Bodkins,191 Greenlodge Street,Dedham,MA,2026,781-310-4000,781-461-0034,"01,02,03,04,05"
Dedham: Oakdale,730030,Public School,Principal,Holli Armstrong,147 Cedar Street,Dedham,MA,2026,781-310-6000,781-320-8915,"01,02,03,04,05"
Dedham: Riverdale,730045,Public School,Principal,Edward Paris,143 Needham Street,Dedham,MA,2026,781-310-2000,781-251-0732,"01,02,03,04,05"
Deerfield: Deerfield Elementary,740015,Public School,Principal,Tina-lynn Gemme,21 Pleasant Street,South Deerfield,MA,1373,413-665-1131,413-665-2747,"PK,K,01,02,03,04,05,06"
Dennis-Yarmouth: Dennis-Yarmouth Regional High,6450505,Public School,Principal,George Morrison,210 Station Avenue,South Yarmouth,MA,2664,508-398-7636,508-398-7635,"08,09,10,11,12"
Dennis-Yarmouth: Ezra H Baker Innovation School,6450005,Public School,Principal,Kevin Depin,810 Route 28,West Dennis,MA,2670,508-398-7690,508-398-7693,"PK,K,01,02,03"
Dennis-Yarmouth: Marguerite E Small Elementary,6450015,Public School,Principal,Patrick Riley,440 Higgins Crowell Rd,West Yarmouth,MA,2673,508-778-7975,508-778-4456,"PK,K,01,02,03"
Dennis-Yarmouth: Mattacheese Middle School,6450305,Public School,Principal,Ann Knell,400 Higgins Crowell Rd,West Yarmouth,MA,2673,508-778-7979,508-778-7987,"06,07"
Dennis-Yarmouth: N H Wixon Innovation School,6450050,Public School,Principal,Sean Owen,901 Route 134/Drwr R,South Dennis,MA,2660,508-398-7695,--,"04,05"
Dennis-Yarmouth: Station Avenue Elementary,6450025,Public School,Principal,Peter Crowell,276 Station Avenue,South Yarmouth,MA,2664,508-760-5600,508-760-5601,"K,01,02,03"
Dighton-Rehoboth: Dighton Elementary,6500005,Public School,Principal,Lynn Dessert,1250 Somerset Avenue,Dighton,MA,2715,508-669-4245,508-669-4248,"K,01,02,03,04"
Dighton-Rehoboth: Dighton Middle School,6500305,Public School,Principal,Richard Wheeler,1250R Somerset Avenue,Dighton,MA,2715,508-669-4200,508-669-4210,"05,06,07,08"
Dighton-Rehoboth: Dorothy L Beckwith,6500310,Public School,Principal,Joseph Pirraglia,330R Winthrop Street,Rehoboth,MA,2769,508-252-5080,508-252-5082,"05,06,07,08"
Dighton-Rehoboth: Palmer River,6500010,Public School,Principal,Arlene Miguel,326 Winthrop Street,Rehoboth,MA,2769,508-252-5100,508-252-5110,"K,01,02,03,04"
Douglas: Douglas Elementary School,770015,Public School,Principal,Samuel Cederbaum,19 Davis Street,Douglas,MA,1516,508-476-4200,508-476-2562,"02,03,04,05"
Douglas: Douglas Middle School,770305,Public School,Principal,Brian Delaney,21 Davis Street,Douglas,MA,1516,508-476-3332,508-476-2562,"06,07,08"
Dover: Chickering,780005,Public School,Principal,Laura Dayal,29 Cross Street,Dover,MA,2030,508-785-0480,508-785-9748,"PK,K,01,02,03,04,05"
Dover-Sherborn: Dover-Sherborn Regional Middle School,6550405,Public School,Principal,Scott Kellett,155 Farm Street,Dover,MA,2030,508-785-0635,508-785-0796,"06,07,08"
Dracut: Brookside Elementary,790035,Public School,Principal,Dawn Smith,1560 Lakeview Avenue,Dracut,MA,1826,978-957-0716,978-957-9726,"K,01,02,03,04,05"
Dracut: George H. Englesby Elementary School,790045,Public School,Principal,Laurie Fahey,1580 Lakeview Ave,Dracut,MA,1826,978-957-9745,978-957-8449,"K,01,02,03,04,05"
Dracut: Greenmont Avenue,790030,Public School,Principal,Nicholas Botelho,37 Greenmont Avenue,Dracut,MA,1826,978-453-1797,978-453-8739,"K,01,02,03,04,05"
Dracut: Joseph A Campbell Elementary,790020,Public School,Principal,Angela Kimble,1021 Methuen Street,Dracut,MA,1826,978-459-6186,978-459-9780,"PK,K,01,02,03,04,05"
Dracut: Justus C. Richardson Middle School,790410,Public School,Principal,Maria McGuinness,1570 Lakeview Ave,Dracut,MA,1826,978-957-3330,978-957-4075,"06,07,08"
Dudley Street Neighborhood Charter School (District): Dudley Street Neighborhood Charter School,4070405,Charter School,Principal,Dawn Lewis,6 Shirley Street,Boston,MA,2119,617-227-8055,--,"PK,K,01,02,03,04,05"
Dudley-Charlton Reg: Charlton Middle School,6580310,Public School,Principal,Dean Packard,2 Oxford Road,Charlton,MA,1507,508-248-1423,508-248-1418,"05,06,07,08"
Dudley-Charlton Reg: Dudley Elementary,6580005,Public School,Principal,Diane Seibold,16 School Street,Dudley,MA,1571,508-943-3351,508-949-3305,"02,03,04"
Dudley-Charlton Reg: Dudley Middle School,6580305,Public School,Principal,Christopher Starczewski,70 Dudley-Oxford Road,Dudley,MA,1571,508-943-2224,508-949-0720,"05,06,07,08"
Dudley-Charlton Reg: Heritage School,6580030,Public School,Principal,Kathleen Pastore,34 Oxford Rd,Charlton,MA,1507,508-248-4884,508-248-1109,"02,03,04"
Duxbury: Alden School,820004,Public School,Principal,Karen Whitaker,75 Alden Street,Duxbury,MA,2332,781-934-7630,781-934-7636,"03,04,05"
Duxbury: Duxbury Middle,820305,Public School,Principal,Blake Dalton,71 Alden Street,Duxbury,MA,2332,781-934-7640,781-934-7608,"06,07,08"
East Bridgewater: East Bridgewater JR./SR. High School,830505,Public School,Principal,Brian Duffey,143 Plymouth Street,East Bridgewater,MA,2333,508-378-8214,508-378-8226,"07,08,09,10,11,12"
East Bridgewater: Gordon W Mitchell,830010,Public School,Principal,Andrew Gentile,435 Central Street,East Bridgewater,MA,2333,508-378-8209,508-378-8228,"03,04,05,06"
East Longmeadow: Birchland Park,870305,Public School,Principal,Timothy Allen,50 Hanward Hill,East Longmeadow,MA,1028,413-525-5480,413-525-5320,"06,07,08"
East Longmeadow: Mapleshade,870010,Public School,Principal,Michael Fredette,175 Mapleshade Avenue,East Longmeadow,MA,1028,413-525-5485,413-525-5321,"03,04,05"
East Longmeadow: Mountain View,870015,Public School,Principal,Elaine Santaniello,77 Hampden Rd,East Longmeadow,MA,1028,413-525-5490,413-525-5447,"03,04,05"
Eastham: Eastham Elementary,850005,Public School,Principal,William Crosby,200 Schoolhouse Road,Eastham,MA,2642,508-255-0808,508-240-5403,"PK,K,01,02,03,04,05"
Easthampton: Center School,860005,Public School,Principal,Allison Rebello,9 School Street,Easthampton,MA,1027,413-529-1540,413-529-1547,"K,01,02,03,04"
Easthampton: Maple,860010,Public School,Principal,Judy Averill,7 Chapel Street,Easthampton,MA,1027,413-529-1550,413-529-1599,"PK,K,01,02,03,04"
Easthampton: Neil A Pepin,860020,Public School,Principal,Allison Rebello,4 Park Street,Easthampton,MA,1027,413-529-1545,413-529-1594,"K,01,02,03,04"
Easthampton: White Brook Middle School,860305,Public School,Principal,Meredith Balise,200 Park Street,Easthampton,MA,1027,413-529-1530,413-529-1534,"05,06,07,08"
Easton: Easton Middle School,880405,Public School,Principal,R. Luke Carroll,98 Columbus Avenue,North Easton,MA,2356,508-230-3222,508-230-3102,"06,07,08"
Easton: Richardson Olmsted School,880025,Public School,Principal,Christopher Getchell,101 Lothrop Street,North Easton,MA,2356,508-230-3227,508-230-3244,"03,04,05"
Edgartown: Edgartown Elementary,890005,Public School,Principal,John Stevens,35 Robinson Road,Edgartown,MA,2539,508-627-3316,508-627-7983,"PK,K,01,02,03,04,05,06,07,08"
Erving: Erving Elementary,910030,Public School,Principal,James Trill,28 Northfield Road,Erving,MA,1344,413-423-3326,413-423-3648,"PK,K,01,02,03,04,05,06"
Everett: Devens School,930030,Public School,Principal,Brian Wallace,22 Church Street,Everett,MA,2149,617-394-2470,--,"K,01,02,03,04,05,06,07,08,09,10,11,12"
Everett: George Keverian School,930028,Public School,Principal,Alexander Naumann,20 Nichols Street,Everett,MA,2149,617-394-5020,617-394-5028,"K,01,02,03,04,05,06,07,08"
Everett: Lafayette School,930038,Public School,Principal,John Obremski,117 Edith Street,Everett,MA,2149,617-394-2450,617-387-5207,"K,01,02,03,04,05,06,07,08"
Everett: Madeline English School,930018,Public School,Principal,Theresa Tringale,105 Woodville Street,Everett,MA,2149,617-394-5013,617-389-5116,"K,01,02,03,04,05,06,07,08"
Everett: Parlin School,930058,Public School,Principal,Michael McLucas,587 Broadway Street,Everett,MA,2149,617-394-2480,617-389-5827,"01,02,03,04,05,06,07,08"
Everett: Sumner G. Whittier School,930010,Public School,Principal,David Brady,337 Broadway,Everett,MA,2149,617-394-2410,617-389-5073,"K,01,02,03,04,05,06,07,08"
Everett: Webster School,930015,Public School,Principal,Denise Hanlon,30 Darmouth Street,Everett,MA,2149,617-394-5040,617-394-5043,"PK,K,01,02,03,04,05"
Excel Academy Charter (District): Excel Academy Charter School,4100205,Charter School,Principal,Owen Stearns,58 Moore Street,East Boston,MA,2128,617-874-4080,617-516-1603,"05,06,07,08,09,10,11"
Fairhaven: East Fairhaven,940010,Public School,Principal,Wendy Weidenfeller,2 New Boston Road,Fairhaven,MA,2719,508-979-4058,508-979-4143,"PK,K,01,02,03,04,05"
Fairhaven: Hastings Middle,940305,Public School,Principal,Nicholas Bettencourt,30 School Street,Fairhaven,MA,2719,508-979-4063,508-979-4068,"06,07,08"
Fairhaven: Leroy Wood,940030,Public School,Principal,Amy Hartley,60 Sconticut Neck Road,Fairhaven,MA,2719,508-979-4073,508-979-4111,"PK,K,01,02,03,04,05"
Fall River: Carlton M. Viveiros Elementary School,950009,Public School,Principal,Tricia Whitty,525 Slade Street,Fall River,MA,2724,508-675-8300,508-672-7514,"K,01,02,03,04,05"
Fall River: Henry Lord Community School,950017,Public School,Principal,Aimee Bronhard,151 Amity Street,Fall River,MA,2721,508-675-8208,--,"PK,K,01,02,03,04,05,06,07,08"
Fall River: James Tansey,950140,Public School,Principal,Christopher Audette,711 Ray Street,Fall River,MA,2720,508-675-8206,508-675-4530,"K,01,02,03,04,05"
Fall River: John J Doran,950045,Public School,Principal,Eric Bradley,101 Fountain Street,Fall River,MA,2721,508-675-8225,508-235-2608,"PK,K,01,02,03,04,05,06,07,08"
Fall River: Letourneau Elementary School,950013,Public School,Principal,Brian Raposo,323 Anthony Street,Fall River,MA,2721,508-676-2170,508-679-1940,"PK,K,01,02,03,04,05"
Fall River: Mary Fonseca Elementary School,950011,Public School,Principal,Alicia Lisi,160 Wall Street,Fall River,MA,2720,508-675-8210,508-675-0889,"PK,K,01,02,03,04,05"
Fall River: Matthew J Kuss Middle,950320,Public School,Principal,Maria Pontes,52 Globe Mills Avenue,Fall River,MA,2724,508-675-8335,508-677-1984,"06,07,08"
Fall River: Morton Middle,950315,Public School,Principal,Sheryl Patterson,1135 North Main Street,Fall River,MA,2720,508-675-8340,508-675-8414,"06,07,08"
Fall River: North End Elementary,950005,Public School,Principal,Anne-Marie Scott,1899 Meridian Street,Fall River,MA,2720,508-675-8245,508-675-8314,"PK,K,01,02,03,04,05"
Fall River: Samuel Watson,950145,Public School,Principal,Cathy Carvalho,935 Eastern Avenue,Fall River,MA,2723,508-675-8240,508-235-2674,"K,01,02,03,04,05"
Fall River: Spencer Borden,950130,Public School,Principal,Kathleen Cobb,1400 President Avenue,Fall River,MA,2720,508-675-8202,508-675-8259,"K,01,02,03,04,05"
Fall River: Stone PK-12 School,950340,Public School,Principal,Mary Shaw,276 maple,Fall River,MA,2720,508-675-8405,508-675-8462,"K,02,03,04,05,06,07,08,09,12"
Fall River: Talbot Innovation School,950305,Public School,Principal,Vayanda Lewis,124 Melrose Street,Fall River,MA,2723,508-675-8350,508-675-8356,"06,07,08"
Fall River: William S Greene,950065,Public School,Principal,Joann Pereira,409 Cambridge Street,Fall River,MA,2721,508-675-8325,508-675-8328,"PK,K,01,02,03,04,05"
Falmouth: East Falmouth Elementary,960005,Public School,Principal,Justine Dale,33 Davisville Rd,East Falmouth,MA,2536,508-548-1052,508-548-0301,"K,01,02,03,04"
Falmouth: Lawrence,960405,Public School,Principal,Thomas Bushy,113 Lakeview Avenue,Falmouth,MA,2540,508-548-0606,508-457-9778,"07,08"
Falmouth: Morse Pond School,960305,Public School,Principal,Timothy Mclaughlin,323 Jones Road,Falmouth,MA,2540,508-548-7300,508-457-1810,"05,06"
Falmouth: Mullen-Hall,960020,Public School,Principal,Nancy Ashworth,130 Katherine Lee Bates Rd,Falmouth,MA,2540,508-548-0220,508-457-5404,"K,01,02,03,04"
Falmouth: North Falmouth Elementary,960030,Public School,Principal,Timothy Adams,62 Old Main Road,North Falmouth,MA,2556,508-563-2334,508-564-7525,"K,01,02,03,04"
Falmouth: Teaticket,960015,Public School,Principal,Debra Pincince,45 Maravista Ave Ext,East Falmouth,MA,2536,508-548-1550,508-540-4383,"PK,K,01,02,03,04"
Farmington River Reg: Farmington River Elementary,6620020,Public School,Principal,Thomas Nadolny,555 N Main Street,Otis,MA,1253,413-269-4466,413-269-7659,"PK,K,01,02,03,04,05,06"
Fitchburg: Arthur M Longsjo Middle School,970315,Public School,Principal,Craig Chalifoux,98 Academy Street,Fitchburg,MA,1420,978-343-2146,978-348-2323,"05,06,07,08"
Fitchburg: Crocker Elementary,970016,Public School,Principal,Adam Renda,200 Bigelow Dr,Fitchburg,MA,1420,978-345-3290,978-345-3233,"PK,K,01,02,03,04"
Fitchburg: McKay Arts Academy,970340,Public School,Principal,Maria Ramirez,67 Rindge Road,Fitchburg,MA,1420,978-665-3187,978-665-3523,"PK,K,01,02,03,04,05,06,07,08"
Fitchburg: Memorial Middle School,970048,Public School,Principal,Francis Thomas,615 Rollstone Street,Fitchburg,MA,1420,978-345-3295,978-343-2121,"05,06,07,08"
Fitchburg: Reingold Elementary,970043,Public School,Principal,Martha Clark,70 Reingold Avenue,Fitchburg,MA,1420,978-345-3287,978-343-2132,"PK,K,01,02,03,04"
Fitchburg: South Street Elementary,970060,Public School,Principal,Jonathan Thompson,376 South Street,Fitchburg,MA,1420,978-348-2300,978-345-3292,"PK,K,01,02,03,04"
Florida: Abbott Memorial,980005,Public School,Principal,Heidi Dugal,56 North County Rd,Florida,MA,1247,413-664-6023,413-663-3593,"PK,K,01,02,03,04,05,06,07,08"
Four Rivers Charter Public (District): Four Rivers Charter Public School,4130505,Charter School,Principal,Peter Garbus,248 Colrain Road,Greenfield,MA,1301,413-775-4577,413-775-4578,"07,08,09,10,11,12"
Foxborough: Charles Taylor Elementary,990050,Public School,Principal,Moira Rodgers,196 South Street,Foxborough,MA,2035,508-543-1607,508-543-3261,"K,01,02,03,04"
Foxborough: John J Ahern,990405,Public School,Principal,Susan Abrams,111 Mechanic Street,Foxborough,MA,2035,508-543-1610,508-543-1613,"05,06,07,08"
Foxborough: Mabelle M Burrell,990015,Public School,Principal,Michele McCarthy,16 Morse Street,Foxborough,MA,2035,508-543-1605,508-698-2196,"PK,K,01,02,03,04"
Foxborough: Vincent M Igo Elementary,990020,Public School,Principal,Michael Stanton,70 Carpenter Street,Foxborough,MA,2035,508-543-1680,508-543-1699,"K,01,02,03,04"
Foxborough Regional Charter (District): Foxborough Regional Charter School,4460550,Charter School,Principal,Mark Logan,131 Central Street,Foxborough,MA,2035,508-543-2508,508-543-7982,"K,01,02,03,04,05,06,07,08,09,10,11,12"
Framingham: Barbieri Elementary,1000035,Public School,Principal,Susan McGilvray-Rivet,100 Dudley Rd,Framingham,MA,1701,508-626-9187,508-626-9176,"K,01,02,03,04,05"
Framingham: Brophy,1000006,Public School,Principal,Franklin Rothwell,575 Pleasant Street,Framingham,MA,1701,508-626-9158,508-877-4025,"K,01,02,03,04,05"
Framingham: Cameron Middle School,1000302,Public School,Principal,Michelle Melick,215 Elm Street,Framingham,MA,1701,508-879-2290,508-788-3560,"06,07,08"
Framingham: Charlotte A Dunning,1000007,Public School,Principal,Michele Schecter,48 Frost Street,Framingham,MA,1701,508-626-9155,508-877-4524,"K,01,02,03,04,05"
Framingham: Fuller Middle,1000305,Public School,Principal,Jose Duarte,31 Flagg Drive,Framingham,MA,1701,508-620-4956,508-628-1308,"06,07,08"
Framingham: Hemenway,1000015,Public School,Principal,Elizabeth Simon,729 Water Street,Framingham,MA,1701,508-626-9149,508-877-2262,"K,01,02,03,04,05"
Framingham: Mary E Stapleton Elementary,1000045,Public School,Principal,Amy Bright,25 Elm Street,Framingham,MA,1701,508-626-9143,508-877-4908,"K,01,02,03,04,05"
Framingham: Miriam F McCarthy School,1000050,Public School,Principal,Jennifer Wu,8 Flagg Drive,Framingham,MA,1701,508-626-9161,508-626-9106,"K,01,02,03,04,05"
Framingham: Potter Road,1000039,Public School,Principal,Paula DelPrete,492 Potter Rd,Framingham,MA,1701,508-626-9110,508-877-1683,"K,01,02,03,04,05"
Framingham: Walsh Middle,1000310,Public School,Principal,Patrick Johnson,301 Brook Street,Framingham,MA,1701,508-626-9180,508-877-1825,"06,07,08"
Framingham: Woodrow Wilson,1000055,Public School,Principal,John Haidemenos,169 Leland Street,Framingham,MA,1702,508-626-9164,508-620-2965,"K,01,02,03,04,05"
Francis W. Parker Charter Essential (District): Francis W. Parker Charter Essential School,4780505,Charter School,Principal,Todd Sumner,49 Antietam St,Devens,MA,1434,978-772-3293,978-772-3295,"07,08,09,10,11,12"
Franklin: Annie Sullivan Middle School,1010040,Public School,Principal,Beth Wittcoff,500 Lincoln Street,Franklin,MA,2038,508-553-0322,508-541-2109,"06,07,08"
Franklin: Davis Thayer,1010035,Public School,Principal,Kathleen Gerber,137 West Central Street,Franklin,MA,2038,508-541-5263,508-553-0891,"K,01,02,03,04,05"
Franklin: Helen Keller Elementary,1010012,Public School,Principal,Eric Stark,500 Lincoln Street,Franklin,MA,2038,508-553-0322,508-541-2109,"K,01,02,03,04,05"
Franklin: Horace Mann,1010405,Public School,Principal,Rebecca Motte,224 Oak Street,Franklin,MA,2038,508-541-6230,508-541-7071,"06,07,08"
Franklin: J F Kennedy Memorial,1010013,Public School,Principal,Linda Ashley,551 Pond Street,Franklin,MA,2038,508-541-5260,508-553-0892,"K,01,02,03,04,05"
Franklin: Jefferson Elementary,1010010,Public School,Principal,Sarah Klim,628 Washington Street,Franklin,MA,2038,508-541-2140,508-541-2124,"K,01,02,03,04,05"
Franklin: Oak Street Elementary,1010030,Public School,Principal,Kate Peretz,224 Oak Street,Franklin,MA,2038,508-541-7890,508-541-8047,"K,01,02,03,04,05"
Franklin: Parmenter,1010032,Public School,Principal,Shannon Barca,235 Wachusett Street,Franklin,MA,2038,508-541-5281,508-553-0894,"K,01,02,03,04,05"
Franklin: Remington Middle,1010310,Public School,Principal,Brian Wildeman,628 Washington Street,Franklin,MA,2038,508-541-2130,508-541-2124,"06,07,08"
Freetown-Lakeville: Assawompset Elementary School,6650002,Public School,Principal,Bethany Pineault,232 Main Street,Lakeville,MA,2347,508-947-1403,508-947-7068,"K,01,02,03"
Freetown-Lakeville: Freetown Elementary School,6650001,Public School,Principal,Michael Ward,43 Bullock Road,East Freetown,MA,2717,508-763-5121,508-763-3986,"PK,K,01,02,03"
Freetown-Lakeville: Freetown-Lakeville Middle School,6650305,Public School,Principal,David Patota,96 Howland Road,Lakeville,MA,2347,508-923-3518,508-946-2050,"06,07,08"
Freetown-Lakeville: George R Austin Intermediate School,6650015,Public School,Principal,Elizabeth Sullivan,112 Howland Road,Lakeville,MA,2347,508-923-3506,508-947-0266,"03,04,05"
Frontier: Frontier Regional,6700505,Public School,Principal,Darius Modestow,113 North Main Street,South Deerfield,MA,1373,413-665-2118,413-665-1518,"07,08,09,10,11,12"
Gardner: Elm Street School,1030001,Public School,Principal,David Fredette,160 Elm Street,Gardner,MA,1440,978-632-1673,978-632-4382,"02,03,04"
Gardner: Gardner High,1030505,Public School,Principal,Paula Bolger,200 Catherine Street,Gardner,MA,1440,978-632-1600,978-630-4040,"08,09,10,11,12"
Gardner: Gardner Middle School,1030405,Public School,Principal,Arthur Murphy,297 Catherine Street,Gardner,MA,1440,978-632-1603,978-632-4234,"05,06,07"
Gateway: Chester Elementary,6720059,Public School,Principal,Megan Coburn,325 Middlefield Road,Chester,MA,1011,413-685-1360,413-354-9618,"PK,K,01,02,03,04,05"
Gateway: Gateway Regional Middle School,6720405,Public School,Principal,Jason Finnie,12 Littleville Road,Huntington,MA,1050,413-685-1105,413-667-5593,"06,07,08"
Gateway: Littleville Elementary School,6720143,Public School,Principal,Megan Coburn,4 Littleville Road,Huntington,MA,1050,413-685-1300,413-667-5734,"PK,K,01,02,03,04,05"
Georgetown: Georgetown Middle School,1050305,Public School,Principal,Peter Lucia,11 Winter Street,Georgetown,MA,1833,978-352-5790,978-352-5798,"07,08"
Georgetown: Penn Brook,1050010,Public School,Principal,Margaret Maher,68 Elm Street,Georgetown,MA,1833,978-352-5785,978-352-5787,"K,01,02,03,04,05,06"
Gill-Montague: Gill Elementary,6740005,Public School,Principal,CONOR DRISCOLL,48 Boyle Rd,Gill,MA,1354,413-863-3255,413-863-3268,"K,01,02,03,04,05,06"
Gill-Montague: Great Falls Middle,6740310,Public School,Principal,Ann Leonard,224 Turnpike Rd,Montague,MA,1351,413-863-7300,413-863-2089,"06,07,08"
Gill-Montague: Sheffield Elementary School,6740050,Public School,Principal,Melissa Pitrat,43 Crocker Avenue,Turners Falls,MA,1376,413-863-9326,413-863-3259,"02,03,04,05"
Global Learning Charter Public (District): Global Learning Charter Public School,4960305,Charter School,Principal,Lena Pires,190 Ashley Boulevard,New Bedford,MA,2746,508-991-4105,508-991-4110,"05,06,07,08,09,10,11,12"
Gloucester: Beeman Memorial,1070010,Public School,Principal,Jodie Gennodie,138 Cherry Street,Gloucester,MA,1930,978-281-9825,978-282-3011,"K,01,02,03,04,05"
Gloucester: East Gloucester Elementary,1070020,Public School,Principal,Amy Pasquarello,8 Davis St Ext,Gloucester,MA,1930,978-281-9830,978-281-9864,"K,01,02,03,04,05"
Gloucester: Plum Cove School,1070042,Public School,Principal,Tammy Morgan,15 Hickory Street,Gloucester,MA,1930,978-282-3030,978-282-3006,"K,01,02,03,04,05"
Gloucester: Ralph B O'Maley Middle,1070305,Public School,Principal,Debra Lucey,32 Cherry Street,Gloucester,MA,1930,978-281-9850,978-281-9890,"06,07,08"
Gloucester: Veterans Memorial,1070045,Public School,Principal,Matthew Fusco,11 Webster Street,Gloucester,MA,1930,978-281-9820,978-281-9717,"K,01,02,03,04,05"
Gloucester: West Parish,1070050,Public School,Principal,Telena Imel,10 Concord Street,Gloucester,MA,1930,978-281-9835,978-281-9886,"K,01,02,03,04,05"
Grafton: Grafton Middle,1100305,Public School,Principal,Roseanne Kurposka,22 Providence Road,Grafton,MA,1519,508-839-5420,508-839-8528,"07,08"
Grafton: Millbury Street Elementary School,1100200,Public School,Principal,Joanne Stocklin,105 Millbury Street,Grafton,MA,1519,508-839-0757,508-839-7458,"02,03,04,05,06"
Grafton: North Street Elementary School,1100030,Public School,Principal,Stephen Wiltshire,60 North Street,Grafton,MA,1519,508-839-5428,508-839-8539,"02,03,04,05,06"
Granby: East Meadow,1110004,Public School,Principal,William Lataille,393 East State Street,Granby,MA,1033,413-467-7199,413-467-9182,"04,05,06"
Granby: Granby Jr Sr High School,1110505,Public School,Principal,Stephen Sullivan,385 East State Street,Granby,MA,1033,413-467-7105,413-467-3909,"07,08,09,10,11,12"
Granby: West Street,1110010,Public School,Principal,William Lataille,14 West Street,Granby,MA,1033,413-467-9235,413-467-7163,"PK,K,01,02,03"
Greenfield: Discovery School at Four Corners,1140025,Public School,Principal,Jacob Toomey,21 Ferrante Avenue,Greenfield,MA,1301,413-772-1378,413-772-1329,"K,01,02,03,04"
Greenfield: Federal Street School,1140010,Public School,Principal,Nancy Putnam,125 Federal Street,Greenfield,MA,1301,413-772-1380,413-772-1319,"K,01,02,03,04"
Greenfield: Greenfield High,1140505,Public School,Principal,Karin Patenaude,21 Barr Avenue,Greenfield,MA,1301,413-772-1350,413-774-6204,"08,09,10,11,12"
Greenfield: Greenfield Middle,1140305,Public School,Principal,Gary Tashjian,195 Federal Street,Greenfield,MA,1301,413-772-1360,413-772-1367,"05,06,07"
Greenfield: Newton School,1140035,Public School,Principal,Melodie Goodwin,70 Shelburne Rd,Greenfield,MA,1301,413-772-1370,413-772-1332,"K,01,02,03,04"
Greenfield Commonwealth Virtual District: Greenfield Commonwealth Virtual School,39010900,Public School,Principal,Greg Runyan,278 Main St.,Greenfield,MA,1301,413-475-3879,413-475-3909,"K,01,02,03,04,05,06,07,08,09,10,11,12"
Groton-Dunstable: Florence Roche School,6730010,Public School,Principal,Elizabeth Garden,P O Box 738,Groton,MA,1450,978-448-6665,978-448-3988,"K,01,02,03,04"
Groton-Dunstable: Groton Dunstable Regional Middle,6730305,Public School,Principal,James Lin,P O Box 727,Groton,MA,1450,978-448-6155,978-448-1201,"05,06,07,08"
Groton-Dunstable: Swallow/Union School,6730005,Public School,Principal,Peter Myerson,522 Main Street,Dunstable,MA,1827,978-649-7281,978-649-5078,"K,01,02,03,04"
Hadley: Hadley Elementary,1170015,Public School,Principal,Joan Wickman,21 River Drive,Hadley,MA,1035,413-584-5011,413-582-6457,"PK,K,01,02,03,04,05,06"
Hadley: Hopkins Academy,1170505,Public School,Principal,Brian Beck,131 Russell Street,Hadley,MA,1035,413-584-1106,413-582-6455,"07,08,09,10,11,12"
Halifax: Halifax Elementary,1180005,Public School,Principal,Kayne Beaudry,464 Plymouth Street,Halifax,MA,2338,781-293-2581,781-293-6589,"K,01,02,03,04,05,06"
Hamilton-Wenham: Bessie Buker Elementary,6750007,Public School,Principal,Brian O'Donoghue,1 School Street,Wenham,MA,1984,978-468-5324,978-468-5329,"K,01,02,03,04,05"
Hamilton-Wenham: Cutler School,6750010,Public School,Principal,Jennifer Clifford,237 Asbury Street,South Hamilton,MA,1982,978-468-5330,978-468-5314,"K,01,02,03,04,05"
Hamilton-Wenham: Miles River Middle,6750310,Public School,Principal,Craig Hovey,787 Bay Rd,Hamilton,MA,1982,978-468-0362,978-468-8454,"06,07,08"
Hamilton-Wenham: Winthrop School,6750015,Public School,Principal,Christopher Heath,325 Bay Rd,South Hamilton,MA,1982,978-468-5340,978-468-5315,"PK,K,01,02,03,04,05"
Hampden Charter School of Science East (District): Hampden Charter School of Science East,4990305,Charter School,Principal,Tarkan Topcuoglu,20 Johnson Rd,Chicopee,MA,1022,413-593-9090,413-294-2648,"06,07,08,09,10,11,12"
